"","Assay_Type_s","AssemblyName_s","BioSample_s","Experiment_s","InsertSize_l","LibraryLayout_s","MBases_l","Run_s","SRA_Sample_s","Sample_Name_s","body_site_s","gap_sample_id_s","gap_subject_id_s"
"4239","RNA-Seq","GRCh37","SAMN02788302","SRX567073",150,"PAIRED",8972,"SRR1328642","SRS626822","GTEX-132Q8-0006-SM-5NQA4","Whole Blood",1269141,985026
"4240","RNA-Seq","GRCh37","SAMN02790080","SRX567085",302,"PAIRED",516,"SRR1328666","SRS626824","GTEX-UPK5-0726-SM-4IHL7","Skin - Sun Exposed (Lower leg)",1271765,706574
"4241","RNA-Seq","GRCh37","SAMN02792223","SRX567089",150,"PAIRED",8290,"SRR1328668","SRS626825","GTEX-ZT9X-0008-SM-4YCD7","Cells - Transformed fibroblasts",1273258,985231
"4242","RNA-Seq","GRCh37","SAMN02790656","SRX567100",150,"PAIRED",5193,"SRR1328692","SRS626826","GTEX-12WSL-2526-SM-5GCNJ","Skin - Sun Exposed (Lower leg)",1268733,985006
"4243","RNA-Seq","GRCh37","SAMN02793296","SRX567119",150,"PAIRED",7765,"SRR1328715","SRS626827","GTEX-YF7O-2226-SM-5CVN8","Minor Salivary Gland",1272527,985192
"4244","RNA-Seq","GRCh37","SAMN02791340","SRX567133",150,"PAIRED",8096,"SRR1328738","SRS626828","GTEX-ZV7C-0726-SM-59HKH","Pancreas",1273411,985240
"4245","RNA-Seq","GRCh37","SAMN02790244","SRX567142",150,"PAIRED",4789,"SRR1328760","SRS626829","GTEX-147JS-1126-SM-5RQIW","Liver",1271163,985143
"4246","RNA-Seq","GRCh37","SAMN02791205","SRX567144",150,"PAIRED",8792,"SRR1328780","SRS626830","GTEX-13FHO-1626-SM-5IJGB","Artery - Aorta",1269572,985052
"4247","RNA-Seq","GRCh37","SAMN02790976","SRX567154",150,"PAIRED",7139,"SRR1328797","SRS626831","GTEX-144FL-0326-SM-5O99O","Muscle - Skeletal",1270796,985119
"4248","RNA-Seq","GRCh37","SAMN02790345","SRX567161",150,"PAIRED",7180,"SRR1328821","SRS626832","GTEX-14753-0626-SM-5Q5CY","Testis",1271096,985138
"4249","RNA-Seq","GRCh37","SAMN02792898","SRX567174",150,"PAIRED",6632,"SRR1328845","SRS626833","GTEX-145MF-1026-SM-5Q5EQ","Adipose - Visceral (Omentum)",1270946,985129
"4250","RNA-Seq","GRCh37","SAMN02791456","SRX567194",150,"PAIRED",4011,"SRR1328869","SRS626834","GTEX-WHWD-0003-SM-4M1ZS","Cells - EBV-transformed lymphocytes",1271839,706589
"4251","RNA-Seq","GRCh37","SAMN02787357","SRX567205",150,"PAIRED",4518,"SRR1328895","SRS626835","GTEX-YFC4-0011-R10a-SM-4SOK5","Brain - Frontal Cortex (BA9)",1272534,985193
"4252","RNA-Seq","GRCh37","SAMN02788963","SRX567208",150,"PAIRED",5486,"SRR1328919","SRS626836","GTEX-13RTJ-0011-R2a-SM-5PNW9","Brain - Substantia nigra",1270499,985101
"4253","RNA-Seq","GRCh37","SAMN02792806","SRX567220",150,"PAIRED",4361,"SRR1328941","SRS626837","GTEX-13O3Q-2226-SM-5KM4O","Breast - Mammary Tissue",1270082,985079
"4254","RNA-Seq","GRCh37","SAMN02791828","SRX567222",150,"PAIRED",6799,"SRR1328960","SRS626838","GTEX-11OF3-2926-SM-5HL78","Brain - Cortex",1267950,984965
"4255","RNA-Seq","GRCh37","SAMN02791616","SRX567237",150,"PAIRED",5512,"SRR1328980","SRS626839","GTEX-13111-1926-SM-5GCOL","Colon - Sigmoid",1268881,985013
"4256","RNA-Seq","GRCh37","SAMN02790834","SRX567247",150,"PAIRED",6590,"SRR1329003","SRS626840","GTEX-WHSE-0526-SM-4SOJ6","Muscle - Skeletal",1271827,720988
"4257","RNA-Seq","GRCh37","SAMN02793141","SRX567261",150,"PAIRED",6049,"SRR1329027","SRS626841","GTEX-111YS-1326-SM-5EGGK","Adipose - Visceral (Omentum)",1267337,984932
"4258","RNA-Seq","GRCh37","SAMN02787345","SRX567271",150,"PAIRED",7385,"SRR1329047","SRS626842","GTEX-13PL7-0005-SM-5N9ET","Whole Blood",1270364,985093
"4259","RNA-Seq","GRCh37","SAMN02787329","SRX567279",150,"PAIRED",5481,"SRR1329068","SRS626844","GTEX-12ZZY-0826-SM-5EQMT","Thyroid",1268833,985011
"4260","RNA-Seq","GRCh37","SAMN02787577","SRX567286",150,"PAIRED",5540,"SRR1329090","SRS626845","GTEX-12WSD-0011-R1b-SM-5LZVY","Brain - Hippocampus",1268581,984998
"4261","RNA-Seq","GRCh37","SAMN02787310","SRX567288",150,"PAIRED",7201,"SRR1329108","SRS626846","GTEX-ZV6S-0926-SM-57WGB","Stomach",1273393,985239
"4262","RNA-Seq","GRCh37","SAMN02789593","SRX567301",150,"PAIRED",5951,"SRR1329131","SRS626847","GTEX-12WSL-1626-SM-5GCMU","Colon - Transverse",1268727,985006
"4263","RNA-Seq","GRCh37","SAMN02789458","SRX567321",150,"PAIRED",5192,"SRR1329154","SRS626848","GTEX-13112-2126-SM-5GCO4","Kidney - Cortex",1268899,985014
"4264","RNA-Seq","GRCh37","SAMN02790977","SRX567335",150,"PAIRED",7663,"SRR1329177","SRS626849","GTEX-ZQUD-1526-SM-51MRE","Heart - Left Ventricle",1273228,985229
"4265","RNA-Seq","GRCh37","SAMN02787383","SRX567437",150,"PAIRED",4067,"SRR1329312","SRS626936","GTEX-11LCK-1726-SM-5S2OQ","Esophagus - Mucosa",1267834,984959
"4266","RNA-Seq","GRCh37","SAMN02792306","SRX567443",150,"PAIRED",5801,"SRR1329334","SRS626937","GTEX-13OW7-0011-R8b-SM-5L3HR","Brain - Hypothalamus",1270296,985089
"4267","RNA-Seq","GRCh37","SAMN02791534","SRX567448",150,"PAIRED",5128,"SRR1329353","SRS626938","GTEX-148VJ-0426-SM-5S2V8","Artery - Tibial",1271177,985145
"4268","RNA-Seq","GRCh37","SAMN02788070","SRX567458",150,"PAIRED",10293,"SRR1329377","SRS626939","GTEX-13O3Q-0011-R5b-SM-5P9H4","Brain - Caudate (basal ganglia)",1270071,985079
"4269","RNA-Seq","GRCh37","SAMN02792429","SRX567470",150,"PAIRED",5597,"SRR1329400","SRS626940","GTEX-12WSJ-1826-SM-5GCNY","Skin - Sun Exposed (Lower leg)",1268693,985004
"4270","RNA-Seq","GRCh37","SAMN02792472","SRX567474",150,"PAIRED",5415,"SRR1329423","SRS626941","GTEX-13OVI-1026-SM-5L3EM","Uterus",1270158,985083
"4271","RNA-Seq","GRCh37","SAMN02789685","SRX567480",150,"PAIRED",7184,"SRR1329442","SRS626942","GTEX-111CU-0226-SM-5GZXC","Thyroid",1267276,984929
"4272","RNA-Seq","GRCh37","SAMN02791447","SRX567491",150,"PAIRED",5444,"SRR1329464","SRS626943","GTEX-ZVZP-1026-SM-5GICI","Thyroid",1273544,985249
"4273","RNA-Seq","GRCh37","SAMN02792736","SRX567505",150,"PAIRED",7500,"SRR1329485","SRS626944","GTEX-ZV7C-0005-SM-57WDL","Whole Blood",1273405,985240
"4274","RNA-Seq","GRCh37","SAMN02787435","SRX567512",150,"PAIRED",4333,"SRR1329508","SRS626945","GTEX-ZVP2-1726-SM-5GU5P","Small Intestine - Terminal Ileum",1273454,985243
"4275","RNA-Seq","GRCh37","SAMN02789279","SRX567524",150,"PAIRED",6761,"SRR1329530","SRS626946","GTEX-139T6-1326-SM-5IFFO","Colon - Transverse",1269335,985037
"4276","RNA-Seq","GRCh37","SAMN02793337","SRX567536",350,"PAIRED",6855,"SRR1329551","SRS626947","GTEX-YFC4-0011-R6b-SM-4V6E1","Brain - Nucleus accumbens (basal ganglia)",1272541,985193
"4277","RNA-Seq","GRCh37","SAMN02789054","SRX567547",150,"PAIRED",5606,"SRR1329575","SRS626948","GTEX-X4EP-1426-SM-4PQZP","Artery - Aorta",1272062,721009
"4278","RNA-Seq","GRCh37","SAMN02791436","SRX567553",150,"PAIRED",7073,"SRR1329601","SRS626949","GTEX-ZYWO-1026-SM-5E45U","Esophagus - Mucosa",1273750,985261
"4279","RNA-Seq","GRCh37","SAMN02792669","SRX567565",150,"PAIRED",5571,"SRR1329624","SRS626950","GTEX-13QBU-0326-SM-5LU3F","Artery - Aorta",1270438,985097
"4280","RNA-Seq","GRCh37","SAMN02792203","SRX567569",150,"PAIRED",5161,"SRR1329642","SRS626951","GTEX-111YS-1826-SM-5GIEP","Colon - Sigmoid",1267342,984932
"4281","RNA-Seq","GRCh37","SAMN02788862","SRX567579",150,"PAIRED",6628,"SRR1329663","SRS626952","GTEX-145LS-2926-SM-5O99G","Colon - Sigmoid",1270875,985124
"4282","RNA-Seq","GRCh37","SAMN02793364","SRX567592",150,"PAIRED",4658,"SRR1329687","SRS626953","GTEX-QV31-0826-SM-4R1KR","Colon - Transverse",1271629,590975
"4283","RNA-Seq","GRCh37","SAMN02792913","SRX567608",150,"PAIRED",8159,"SRR1329704","SRS626954","K-562-SM-5GZWN","Cells - Leukemia cell line (CML)",1273858,590982
"4284","RNA-Seq","GRCh37","SAMN02793681","SRX567611",150,"PAIRED",6575,"SRR1329726","SRS626955","GTEX-13FTW-1726-SM-5KM2B","Stomach",1269654,985056
"4285","RNA-Seq","GRCh37","SAMN02792316","SRX567615",150,"PAIRED",4962,"SRR1329744","SRS626956","GTEX-145MF-0626-SM-5LUAI","Skin - Sun Exposed (Lower leg)",1270942,985129
"4286","RNA-Seq","GRCh37","SAMN02791591","SRX567627",150,"PAIRED",6702,"SRR1329761","SRS626957","GTEX-12ZZX-0011-R5a-SM-5HL89","Brain - Caudate (basal ganglia)",1268798,985010
"4287","RNA-Seq","GRCh37","SAMN02789361","SRX567639",150,"PAIRED",7241,"SRR1329783","SRS626958","GTEX-145MI-0626-SM-5SI8S","Skin - Not Sun Exposed (Suprapubic)",1270992,985132
"4288","RNA-Seq","GRCh37","SAMN02793213","SRX567647",150,"PAIRED",5592,"SRR1329811","SRS626959","GTEX-11DXY-1626-SM-5H12L","Adrenal Gland",1267540,984944
"4289","RNA-Seq","GRCh37","SAMN02792481","SRX567661",150,"PAIRED",5753,"SRR1329835","SRS626961","GTEX-RVPU-0011-R8A-SM-5SI8I","Brain - Hypothalamus",1271688,678160
"4290","RNA-Seq","GRCh37","SAMN02789998","SRX567677",150,"PAIRED",5630,"SRR1329863","SRS626971","GTEX-ZA64-0526-SM-5HL9I","Esophagus - Muscularis",1272668,985201
"4291","RNA-Seq","GRCh37","SAMN02788973","SRX567690",150,"PAIRED",6470,"SRR1329885","SRS626972","GTEX-ZF28-0011-R6a-SM-4WKHI","Brain - Nucleus accumbens (basal ganglia)",1272954,985215
"4292","RNA-Seq","GRCh37","SAMN02793198","SRX567703",150,"PAIRED",5133,"SRR1329909","SRS626973","GTEX-14BMU-1126-SM-5RQJ8","Stomach",1271324,985157
"4293","RNA-Seq","GRCh37","SAMN02790503","SRX567706",150,"PAIRED",6070,"SRR1329929","SRS626974","GTEX-13O21-0826-SM-5J2NU","Esophagus - Muscularis",1270005,985076
"4294","RNA-Seq","GRCh37","SAMN02793423","SRX567720",150,"PAIRED",4407,"SRR1329947","SRS626975","GTEX-X3Y1-1326-SM-4PQZB","Esophagus - Mucosa",1272039,721007
"4295","RNA-Seq","GRCh37","SAMN02793230","SRX567722",150,"PAIRED",5248,"SRR1329971","SRS626976","GTEX-111YS-1526-SM-5GZYW","Skin - Not Sun Exposed (Suprapubic)",1267339,984932
"4296","RNA-Seq","GRCh37","SAMN02788091","SRX567736",150,"PAIRED",6458,"SRR1329994","SRS626977","GTEX-144FL-2726-SM-5O98Z","Esophagus - Mucosa",1270801,985119
"4297","RNA-Seq","GRCh37","SAMN02791409","SRX567752",150,"PAIRED",7400,"SRR1330018","SRS626978","GTEX-ZXES-0626-SM-5E45P","Vagina",1273586,985252
"4298","RNA-Seq","GRCh37","SAMN02793790","SRX567763",150,"PAIRED",5210,"SRR1330041","SRS626979","GTEX-11OC5-0626-SM-5HL6M","Brain - Cerebellum",1267927,984964
"4299","RNA-Seq","GRCh37","SAMN02788160","SRX567776",150,"PAIRED",5255,"SRR1330061","SRS626980","GTEX-13112-0011-R5b-SM-5DUV8","Brain - Caudate (basal ganglia)",1268889,985014
"4300","RNA-Seq","GRCh37","SAMN02792725","SRX567785",150,"PAIRED",6646,"SRR1330082","SRS626982","GTEX-14BIM-2226-SM-5SI8Y","Uterus",1271301,985155
"4301","RNA-Seq","GRCh37","SAMN02791739","SRX567799",150,"PAIRED",7173,"SRR1330106","SRS626983","GTEX-ZE7O-0126-SM-57WC1","Skin - Sun Exposed (Lower leg)",1272893,985212
"4302","RNA-Seq","GRCh37","SAMN02788172","SRX567810",150,"PAIRED",6880,"SRR1330129","SRS626984","GTEX-131XH-0006-SM-5O98V","Whole Blood",1269032,985021
"4303","RNA-Seq","GRCh37","SAMN02789147","SRX567817",150,"PAIRED",7229,"SRR1330153","SRS626985","GTEX-ZPIC-0826-SM-4WWFJ","Heart - Left Ventricle",1273152,985226
"4304","RNA-Seq","GRCh37","SAMN02791283","SRX567827",150,"PAIRED",6779,"SRR1330176","SRS626986","GTEX-Y5V6-1626-SM-4VDT2","Colon - Sigmoid",1272282,985181
"4305","RNA-Seq","GRCh37","SAMN02792791","SRX567893",150,"PAIRED",6194,"SRR1330284","SRS627039","GTEX-ZYFG-2526-SM-5GIEK","Nerve - Tibial",1273687,985257
"4306","RNA-Seq","GRCh37","SAMN02790269","SRX567902",150,"PAIRED",6562,"SRR1330305","SRS627040","GTEX-11GS4-0826-SM-5986J","Thyroid",1267710,984953
"4307","RNA-Seq","GRCh37","SAMN02789135","SRX567909",150,"PAIRED",6669,"SRR1330327","SRS627041","GTEX-13O3P-0626-SM-5L3D5","Muscle - Skeletal",1270053,985078
"4308","RNA-Seq","GRCh37","SAMN02789999","SRX567912",150,"PAIRED",8624,"SRR1330346","SRS627042","GTEX-13OW7-0011-R4b-SM-5O9CX","Brain - Amygdala",1270294,985089
"4309","RNA-Seq","GRCh37","SAMN02787956","SRX567926",150,"PAIRED",6462,"SRR1330371","SRS627044","GTEX-145ME-0926-SM-5O9AR","Small Intestine - Terminal Ileum",1270926,985128
"4310","RNA-Seq","GRCh37","SAMN02793007","SRX567947",150,"PAIRED",5309,"SRR1330427","SRS627053","GTEX-12WSJ-0726-SM-5GCN6","Esophagus - Muscularis",1268684,985004
"4311","RNA-Seq","GRCh37","SAMN02787970","SRX567951",150,"PAIRED",5792,"SRR1330450","SRS627054","GTEX-WYVS-1426-SM-4ONCV","Vagina",1271989,721003
"4312","RNA-Seq","GRCh37","SAMN02791989","SRX567965",150,"PAIRED",5839,"SRR1330474","SRS627055","GTEX-WRHU-2926-SM-4MVNQ","Vagina",1271904,720996
"4313","RNA-Seq","GRCh37","SAMN02787966","SRX567976",150,"PAIRED",8151,"SRR1330498","SRS627056","GTEX-ZVZQ-0011-R9a-SM-51MRH","Brain - Spinal cord (cervical c-1)",1273570,985250
"4314","RNA-Seq","GRCh37","SAMN02791835","SRX567986",150,"PAIRED",22945,"SRR1330522","SRS627057","GTEX-YEC3-0005-SM-4W21J","Whole Blood",1272430,985189
"4315","RNA-Seq","GRCh37","SAMN02789017","SRX567988",150,"PAIRED",8989,"SRR1330546","SRS627058","GTEX-139TS-0011-R2b-SM-5J1MX","Brain - Substantia nigra",1269359,985039
"4316","RNA-Seq","GRCh37","SAMN02792071","SRX567996",150,"PAIRED",5387,"SRR1330565","SRS627059","GTEX-11LCK-1026-SM-5A5KB","Skin - Sun Exposed (Lower leg)",1267827,984959
"4317","RNA-Seq","GRCh37","SAMN02787727","SRX568008",150,"PAIRED",5894,"SRR1330588","SRS627060","GTEX-11I78-2626-SM-5Q5AI","Adipose - Subcutaneous",1267803,984957
"4318","RNA-Seq","GRCh37","SAMN02793441","SRX568018",150,"PAIRED",6825,"SRR1330609","SRS627061","GTEX-WY7C-1726-SM-4ONCC","Stomach",1271949,721000
"4319","RNA-Seq","GRCh37","SAMN02790517","SRX568030",150,"PAIRED",7714,"SRR1330633","SRS627062","GTEX-1477Z-1126-SM-5P9GK","Heart - Atrial Appendage",1271110,985139
"4320","RNA-Seq","GRCh37","SAMN02788136","SRX568032",150,"PAIRED",6676,"SRR1330656","SRS627063","GTEX-13NZ8-0011-R8b-SM-5KM48","Brain - Hypothalamus",1269932,985071
"4321","RNA-Seq","GRCh37","SAMN02790277","SRX568044",150,"PAIRED",6867,"SRR1330675","SRS627064","GTEX-12ZZZ-0011-R7b-SM-5EGLE","Brain - Putamen (basal ganglia)",1268850,985012
"4322","RNA-Seq","GRCh37","SAMN02789521","SRX568058",150,"PAIRED",7872,"SRR1330699","SRS627065","GTEX-ZVT3-0011-R5a-SM-51MSI","Brain - Caudate (basal ganglia)",1273489,985245
"4323","RNA-Seq","GRCh37","SAMN02792886","SRX568069",150,"PAIRED",5858,"SRR1330723","SRS627066","GTEX-ZP4G-1926-SM-57WDZ","Minor Salivary Gland",1273125,985224
"4324","RNA-Seq","GRCh37","SAMN02792963","SRX568075",150,"PAIRED",8616,"SRR1330746","SRS627067","GTEX-Y9LG-0726-SM-4VDS3","Pancreas",1272368,985185
"4325","RNA-Seq","GRCh37","SAMN02792998","SRX568079",150,"PAIRED",8209,"SRR1330770","SRS627068","GTEX-13X6K-2726-SM-5O9DG","Colon - Sigmoid",1270767,985116
"4326","RNA-Seq","GRCh37","SAMN02790117","SRX568083",150,"PAIRED",8767,"SRR1330792","SRS627069","GTEX-11DXX-0226-SM-5P9HL","Thyroid",1267502,984943
"4327","RNA-Seq","GRCh37","SAMN02790926","SRX568087",150,"PAIRED",6051,"SRR1330813","SRS627070","GTEX-1399R-0726-SM-5KM2A","Esophagus - Muscularis",1269218,985031
"4328","RNA-Seq","GRCh37","SAMN02792758","SRX568098",150,"PAIRED",8199,"SRR1330831","SRS627071","GTEX-ZQG8-2426-SM-57WEE","Colon - Sigmoid",1273211,985228
"4329","RNA-Seq","GRCh37","SAMN02789467","SRX568104",150,"PAIRED",7719,"SRR1330854","SRS627072","GTEX-ZE7O-0326-SM-51MTH","Muscle - Skeletal",1272895,985212
"4330","RNA-Seq","GRCh37","SAMN02787321","SRX568120",150,"PAIRED",6560,"SRR1330878","SRS627073","GTEX-12WSL-2026-SM-5GCML","Skin - Not Sun Exposed (Suprapubic)",1268729,985006
"4331","RNA-Seq","GRCh37","SAMN02789397","SRX568132",150,"PAIRED",5039,"SRR1330901","SRS627074","GTEX-1211K-1126-SM-5EGGB","Pancreas",1268340,984985
"4332","RNA-Seq","GRCh37","SAMN02792947","SRX568138",150,"PAIRED",9942,"SRR1330920","SRS627075","GTEX-YFCO-2026-SM-4W21Q","Adipose - Subcutaneous",1272580,985194
"4333","RNA-Seq","GRCh37","SAMN02793197","SRX568140",150,"PAIRED",6577,"SRR1330944","SRS627076","GTEX-146FR-0926-SM-5QGPE","Heart - Atrial Appendage",1271075,985137
"4334","RNA-Seq","GRCh37","SAMN02789913","SRX568158",150,"PAIRED",7124,"SRR1330965","SRS627077","GTEX-147F4-1226-SM-5NQAY","Heart - Left Ventricle",1271138,985141
"4335","RNA-Seq","GRCh37","SAMN02791433","SRX568174",150,"PAIRED",7669,"SRR1330989","SRS627078","GTEX-13S86-0626-SM-5Q5E7","Lung",1270555,985105
"4336","RNA-Seq","GRCh37","SAMN02789357","SRX568176",150,"PAIRED",7520,"SRR1331013","SRS627079","GTEX-14BMV-1026-SM-5SI6B","Heart - Atrial Appendage",1271337,985158
"4337","RNA-Seq","GRCh37","SAMN02788213","SRX568197",150,"PAIRED",6042,"SRR1331037","SRS627080","GTEX-ZLFU-0726-SM-57WF6","Pancreas",1273060,985221
"4338","RNA-Seq","GRCh37","SAMN02793535","SRX568210",150,"PAIRED",7593,"SRR1331060","SRS627081","GTEX-ZPCL-1126-SM-4WWFE","Skin - Not Sun Exposed (Suprapubic)",1273137,985225
"4339","RNA-Seq","GRCh37","SAMN02793665","SRX568219",150,"PAIRED",7376,"SRR1331083","SRS627082","GTEX-YFC4-0008-SM-4RGM3","Cells - Transformed fibroblasts",1272533,985193
"4340","RNA-Seq","GRCh37","SAMN02793070","SRX568224",150,"PAIRED",6536,"SRR1331109","SRS627083","GTEX-11TT1-0526-SM-5P9JO","Esophagus - Mucosa",1268066,984971
"4341","RNA-Seq","GRCh37","SAMN02793136","SRX568233",150,"PAIRED",4911,"SRR1331130","SRS627084","GTEX-ZXES-0004-SM-57WCW","Cells - EBV-transformed lymphocytes",1273582,985252
"4342","RNA-Seq","GRCh37","SAMN02793661","SRX568260",150,"PAIRED",6021,"SRR1331153","SRS627086","GTEX-11DXX-2626-SM-5Q5A3","Artery - Tibial",1267525,984943
"4343","RNA-Seq","GRCh37","SAMN02793496","SRX568248",150,"PAIRED",4451,"SRR1331174","SRS627085","GTEX-Y111-0008-SM-4SOJ3","Cells - Transformed fibroblasts",1272125,985175
"4344","RNA-Seq","GRCh37","SAMN02791251","SRX568265",150,"PAIRED",6913,"SRR1331198","SRS627087","GTEX-11P7K-0126-SM-5986E","Adrenal Gland",1267979,984967
"4345","RNA-Seq","GRCh37","SAMN02790648","SRX568285",150,"PAIRED",6421,"SRR1331220","SRS627088","GTEX-144GO-1326-SM-5Q5EL","Muscle - Skeletal",1270854,985123
"4346","RNA-Seq","GRCh37","SAMN02788632","SRX568292",150,"PAIRED",4436,"SRR1331244","SRS627089","GTEX-12ZZX-2426-SM-5GCOE","Skin - Not Sun Exposed (Suprapubic)",1268817,985010
"4347","RNA-Seq","GRCh37","SAMN02791827","SRX568299",150,"PAIRED",6908,"SRR1331267","SRS627090","GTEX-ZPIC-1126-SM-5BC7F","Breast - Mammary Tissue",1273155,985226
"4348","RNA-Seq","GRCh37","SAMN02790641","SRX568312",150,"PAIRED",6185,"SRR1331289","SRS627091","GTEX-1477Z-0011-R5b-SM-5PNUO","Brain - Caudate (basal ganglia)",1271108,985139
"4349","RNA-Seq","GRCh37","SAMN02789602","SRX568325",150,"PAIRED",7357,"SRR1331311","SRS627092","GTEX-ZV68-0006-SM-4YCEJ","Whole Blood",1273376,985238
"4350","RNA-Seq","GRCh37","SAMN02792348","SRX568333",150,"PAIRED",6283,"SRR1331335","SRS627093","GTEX-14A5I-2926-SM-5Q5CQ","Brain - Cortex",1271223,985148
"4351","RNA-Seq","GRCh37","SAMN02790049","SRX568347",150,"PAIRED",7072,"SRR1331359","SRS627094","GTEX-ZEX8-2426-SM-4WKG4","Skin - Sun Exposed (Lower leg)",1272946,985214
"4352","RNA-Seq","GRCh37","SAMN02787514","SRX568364",150,"PAIRED",5839,"SRR1331383","SRS627095","GTEX-ZYY3-1926-SM-5GZXS","Thyroid",1273775,985262
"4353","RNA-Seq","GRCh37","SAMN02790330","SRX568367",150,"PAIRED",5824,"SRR1331405","SRS627096","GTEX-YB5E-1626-SM-5IFIQ","Colon - Transverse",1272395,985186
"4354","RNA-Seq","GRCh37","SAMN02791269","SRX568374",150,"PAIRED",4957,"SRR1331422","SRS627097","GTEX-11TT1-0004-SM-5S2NT","Cells - EBV-transformed lymphocytes",1268059,984971
"4355","RNA-Seq","GRCh37","SAMN02791499","SRX568386",150,"PAIRED",6763,"SRR1331444","SRS627098","GTEX-117YX-1126-SM-5H128","Heart - Left Ventricle",1267446,984939
"4356","RNA-Seq","GRCh37","SAMN02789834","SRX568403",150,"PAIRED",7091,"SRR1331466","SRS627099","GTEX-145MH-0011-R7a-SM-5PNWH","Brain - Putamen (basal ganglia)",1270966,985131
"4357","RNA-Seq","GRCh37","SAMN02787243","SRX568414",150,"PAIRED",4488,"SRR1331488","SRS627100","GTEX-12WSI-0226-SM-5GCNA","Liver",1268674,985003
"4358","RNA-Seq","GRCh37","SAMN02787276","SRX568416",150,"PAIRED",9059,"SRR1331511","SRS627101","GTEX-12WSH-0011-R5b-SM-5P9F3","Brain - Caudate (basal ganglia)",1268659,985002
"4359","RNA-Seq","GRCh37","SAMN02791893","SRX568431",150,"PAIRED",5894,"SRR1331534","SRS627102","GTEX-11NV4-0011-R7a-SM-57WDH","Brain - Putamen (basal ganglia)",1267885,984962
"4360","RNA-Seq","GRCh37","SAMN02788668","SRX568444",150,"PAIRED",6503,"SRR1331579","SRS627104","GTEX-13N2G-0011-R10a-SM-5MR34","Brain - Frontal Cortex (BA9)",1269848,985067
"4361","RNA-Seq","GRCh37","SAMN02792674","SRX568451",150,"PAIRED",8464,"SRR1331597","SRS627105","GTEX-13OVJ-0011-R5a-SM-5P9H7","Brain - Caudate (basal ganglia)",1270181,985084
"4362","RNA-Seq","GRCh37","SAMN02791541","SRX568452",150,"PAIRED",6829,"SRR1331620","SRS627106","GTEX-13NZA-0326-SM-5J1MK","Nerve - Tibial",1269962,985073
"4363","RNA-Seq","GRCh37","SAMN02790343","SRX568463",150,"PAIRED",4185,"SRR1331639","SRS627107","GTEX-11TT1-2326-SM-5GU6N","Muscle - Skeletal",1268083,984971
"4364","RNA-Seq","GRCh37","SAMN02793678","SRX568467",150,"PAIRED",6973,"SRR1331661","SRS627108","GTEX-YB5K-2126-SM-4WWDJ","Skin - Sun Exposed (Lower leg)",1272420,985187
"4365","RNA-Seq","GRCh37","SAMN02791813","SRX568480",150,"PAIRED",7534,"SRR1331684","SRS627109","GTEX-YB5E-0005-SM-4VDSO","Whole Blood",1272383,985186
"4366","RNA-Seq","GRCh37","SAMN02792356","SRX568492",150,"PAIRED",5993,"SRR1331708","SRS627110","GTEX-11O72-0226-SM-59869","Adipose - Subcutaneous",1267902,984963
"4367","RNA-Seq","GRCh37","SAMN02789847","SRX568498",150,"PAIRED",5693,"SRR1331730","SRS627111","GTEX-13FTW-1526-SM-5LZXC","Esophagus - Muscularis",1269652,985056
"4368","RNA-Seq","GRCh37","SAMN02789946","SRX568503",150,"PAIRED",5373,"SRR1331751","SRS627112","GTEX-13S7M-3126-SM-5RQJQ","Brain - Cortex",1270549,985104
"4369","RNA-Seq","GRCh37","SAMN02790126","SRX568510",150,"PAIRED",5464,"SRR1331771","SRS627113","GTEX-111FC-2926-SM-5GZY7","Minor Salivary Gland",1267309,984930
"4370","RNA-Seq","GRCh37","SAMN02793608","SRX568526",150,"PAIRED",8409,"SRR1331793","SRS627114","GTEX-ZP4G-0008-SM-4E3I4","Cells - Transformed fibroblasts",1273108,985224
"4371","RNA-Seq","GRCh37","SAMN02792525","SRX568535",150,"PAIRED",7133,"SRR1331818","SRS627115","GTEX-ZYFC-0726-SM-5E448","Artery - Tibial",1273639,985255
"4372","RNA-Seq","GRCh37","SAMN02789244","SRX568547",150,"PAIRED",4996,"SRR1331841","SRS627116","GTEX-145LU-2626-SM-5LU9Z","Brain - Cerebellum",1270908,985126
"4373","RNA-Seq","GRCh37","SAMN02789778","SRX568552",150,"PAIRED",6744,"SRR1331858","SRS627117","GTEX-1399U-1626-SM-5P9J3","Stomach",1269297,985034
"4374","RNA-Seq","GRCh37","SAMN02787819","SRX568563",150,"PAIRED",6242,"SRR1331879","SRS627118","GTEX-1211K-1026-SM-5EQ4B","Esophagus - Muscularis",1268339,984985
"4375","RNA-Seq","GRCh37","SAMN02793105","SRX568571",150,"PAIRED",6486,"SRR1331900","SRS627119","GTEX-ZVP2-0126-SM-5NQ7D","Adrenal Gland",1273438,985243
"4376","RNA-Seq","GRCh37","SAMN02788714","SRX568576",150,"PAIRED",6954,"SRR1331922","SRS627120","GTEX-12KS4-0826-SM-5BC5R","Muscle - Skeletal",1268496,984993
"4377","RNA-Seq","GRCh37","SAMN02791679","SRX568587",150,"PAIRED",6402,"SRR1331944","SRS627121","GTEX-139TT-2626-SM-5LZUB","Brain - Cerebellum",1269390,985040
